Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,temperature
2024-11-19,,,28.80226269315673,,,,,,,,
2024-11-20,,,28.80226269315673,,,,,,,,
2024-11-21,,,28.80226269315673,,,,,,,,
2024-11-22,,,28.80226269315673,,,,,,,,
2024-11-23,,,28.80226269315673,,,,,,,,
2024-11-24,,,28.80226269315673,,,,,,,,
2024-11-25,25.0,29.0,26.33333333333333,,,,,,,,
2024-11-26,25.0,29.0,26.75,,,,,,,,
2024-11-27,25.0,29.0,26.625,,,,,,,,
2024-11-28,25.0,29.0,26.625,,,,,,,,
2024-11-29,25.0,29.0,26.625,,,,,,,,
2024-11-30,25.0,29.0,26.625,,,,,,,,
2024-12-01,25.0,29.0,26.625,,,,,,,,
2024-12-02,25.0,29.0,26.625,,,,,,,,
2024-12-03,25.0,29.0,26.625,,,,,,,,
2024-12-04,25.0,29.0,26.875,,,,,,,,
2024-12-05,25.0,29.0,26.75,,,,,,,,
2024-12-06,25.0,29.0,27.0,,,,,,,,
